wavelength_nm,flux,flux_db
1497781429.7452753,0.22014189,-6.5729733
1497102382.4855118,0.24029964,-6.192469
1496423950.6643112,0.26824537,-5.714678
1495746133.4453692,0.30073723,-5.218128
1495068929.9938974,0.33443418,-4.7568936
1494392339.4766183,0.36674452,-4.356364
1493716361.0617611,0.3961156,-4.0217805
1493040993.9190607,0.42179105,-3.7490263
1492366237.2197516,0.44351387,-3.530928
1491692090.1365666,0.46143195,-3.3589234
1491018551.8437326,0.47598776,-3.224042
1490345621.516967,0.4877193,-3.1183007
1489673298.333475,0.49701285,-3.0363238
1489001581.4719453,0.5040477,-2.9752836
1488330470.1125474,0.50895506,-2.9332056
1487659963.4369285,0.51199806,-2.907317
1486990060.62821,0.51353,-2.8943417
1486320760.8709831,0.51373094,-2.8926425
1485652063.3513074,0.5124964,-2.9030917
1484983967.2567065,0.5097209,-2.9266753
1484316471.7761636,0.5058052,-2.9601672
1483649576.1001213,0.5018829,-2.9939759
1482983279.4204748,0.499399,-3.0155232
1482317580.9305716,0.49928594,-3.0165067
1481652479.825206,0.501382,-2.9983127
1480987975.3006175,0.50457305,-2.9707596
1480324066.5544863,0.5075271,-2.9454076
1479660752.7859313,0.5094254,-2.929194
1478998033.1955054,0.5101595,-2.9229403
1478335906.9851937,0.5099963,-2.92433
1477674373.3584096,0.509152,-2.9315255
1477013431.5199919,0.5076405,-2.9444375
1476353080.6762002,0.5054296,-2.963393
1475693320.0347147,0.50260776,-2.987708
1475034148.80463,0.49936974,-3.0157778
1474375566.196454,0.49585372,-3.0464644
1473717571.4221036,0.49206126,-3.0798082
1473060163.6949017,0.48793343,-3.1163943
1472403342.2295747,0.48348027,-3.1562123
1471747106.2422488,0.47881606,-3.1983128
1471091454.950447,0.47406596,-3.2416124
1470436387.5730863,0.46927938,-3.285685
1469781903.3304734,0.46444786,-3.3306303
1469128001.444304,0.4595932,-3.376264
1468474681.137657,0.45480892,-3.42171
1467821941.6349933,0.45020866,-3.4658613
1467169782.1621516,0.44585177,-3.5080953
1466518201.9463468,0.44172755,-3.5484552
1465867200.2161648,0.43782145,-3.5870295
1465216776.2015612,0.43416944,-3.6234074
1464566929.1338582,0.43083993,-3.6568406
1463917658.2457402,0.42786393,-3.6869433
1463268962.7712522,0.42521363,-3.7139282
1462620841.945796,0.42284775,-3.73816
1461973295.0061276,0.42077032,-3.759549
1461326321.190354,0.41903454,-3.7775018
1460679919.7379303,0.4176829,-3.791533
1460034089.8896565,0.41670915,-3.8016696
1459388830.8876748,0.4160758,-3.8082755
1458744141.9754667,0.4157753,-3.811413
1458100022.3978498,0.41584733,-3.8106608
1457456471.4009748,0.41634026,-3.8055158
1456813488.232323,0.41725686,-3.795965
1456171072.1407025,0.4185553,-3.7824717
1455529222.3762465,0.42019576,-3.7654834
1454887938.1904092,0.4221799,-3.7450244
1454247218.835964,0.42452705,-3.7209463
1453607063.5669992,0.42721802,-3.6935043
1452967471.6389167,0.43018007,-3.663497
1452328442.3084278,0.43331876,-3.631925
1451689974.833551,0.43655822,-3.5995784
1451052068.4736092,0.4398426,-3.5670269
1450414722.489226,0.44308785,-3.5351017
1449777936.1423244,0.4461454,-3.505236
1449141708.6961222,0.44881052,-3.4793699
1448506039.4151304,0.45087805,-3.4594092
1447870927.5651493,0.45216495,-3.447031
1447236372.4132674,0.4524731,-3.4440722
1446602373.2278564,0.4515709,-3.4527407
1445968929.2785702,0.4492084,-3.475521
1445336039.8363414,0.44519183,-3.5145283
1444703704.1733773,0.4394528,-3.5708776
1444071921.5631597,0.43206576,-3.6445017
1443440691.2804399,0.42322722,-3.7342641
1442810012.6012373,0.41324943,-3.8378773
1442179884.8028355,0.40254688,-3.9518354
1441550307.1637805,0.39163435,-4.0711923
1440921278.9638772,0.3810483,-4.1902
1440292799.4841874,0.37125558,-4.3032703
1439664868.0070262,0.36256003,-4.4062004
1439037483.8159597,0.35511523,-4.496307
1438410646.1958032,0.34897187,-4.572096
1437784354.4326162,0.34411037,-4.6330223
1437158607.8137023,0.34044406,-4.6795425
1436533405.6276047,0.3378123,-4.7132454
1435908747.164104,0.33600762,-4.736509
1435284631.7142155,0.3348333,-4.7517138
1434661058.5701873,0.33414334,-4.7606716
1434038027.025496,0.33382657,-4.764791
1433415536.3748457,0.33376396,-4.7656054
1432793585.9141643,0.3338135,-4.7649612
1432172174.940601,0.33384997,-4.7644863
1431551302.752524,0.33380002,-4.7651367
1430930968.6495175,0.33363938,-4.7672267
1430311171.9323792,0.33334237,-4.771095
1429691911.9031186,0.33284602,-4.7775664
1429073187.8649514,0.33207104,-4.78769
1428454999.122301,0.33097976,-4.8019857
1427837344.980793,0.32958645,-4.820307
1427220224.7472532,0.3279225,-4.842288
1426603637.729706,0.32598191,-4.868065
1425987583.2373703,0.32371998,-4.898305
1425372060.5806584,0.32110953,-4.933468
1424757069.0711722,0.3181868,-4.9731784
1424142608.021701,0.31502536,-5.0165453
1423528676.74622,0.31168404,-5.0628543
1422915274.559886,0.30817157,-5.112074
1422302400.7790358,0.3044837,-5.164359
1421690054.7211843,0.3006714,-5.2190785
1421078235.7050195,0.29684985,-5.274632
1420466943.0504036,0.2931399,-5.329251
1419856176.078368,0.28961122,-5.3818464
1419245934.1111104,0.28629017,-5.431936
1418636216.4719946,0.28321594,-5.478823
1418027022.4855459,0.2804863,-5.5208836
1417418351.4774494,0.27822414,-5.5560517
1416810202.7745478,0.27650538,-5.5829644
1416202575.704838,0.2753204,-5.601616
1415595469.59747,0.2746286,-5.612542
1414988883.7827432,0.2744166,-5.615896
1414382817.592104,0.27471063,-5.6112456
1413777270.3581445,0.27551624,-5.598528
1413172241.414599,0.27676257,-5.578926
1412567730.0963411,0.27832362,-5.5544996
1411963735.739383,0.28009057,-5.527015
1411360257.6808722,0.28201532,-5.4972734
1410757295.2590876,0.28407642,-5.465648
1410154847.8134398,0.28621686,-5.4330482
1409552914.6844668,0.28832495,-5.401178
1408951495.2138317,0.2902866,-5.3717303
1408350588.7443213,0.29205078,-5.345416
1407750194.6198425,0.2936239,-5.3220863
1407150312.1854215,0.2950024,-5.3017445
1406550940.7871995,0.29612175,-5.285297
1405952079.7724314,0.2968914,-5.274024
1405353728.4894836,0.29725716,-5.2686768
1404755886.2878315,0.29723072,-5.269063
1404158552.5180564,0.2968389,-5.2747917
1403561726.5318441,0.29605255,-5.286312
1402965407.6819823,0.29478276,-5.3049793
1402369595.3223572,0.29295978,-5.3319197
1401774288.8079534,0.2905857,-5.3672576
1401179487.4948494,0.28771544,-5.4103684
1400585190.7402172,0.28438252,-5.460971
1399991397.902317,0.28056672,-5.5196385
1399398108.3404987,0.2762724,-5.586625
1398805321.4151967,0.271632,-5.660191
1398213036.4879296,0.26693755,-5.7359033
1397621252.9212952,0.26258877,-5.8072386
1397029970.0789719,0.25904825,-5.8661933
1396439187.3257132,0.25692067,-5.9020095
1395848904.027347,0.25707865,-5.8993397
1395259119.5507736,0.260644,-5.8395233
1394669833.263962,0.26863888,-5.708311
1394081044.5359485,0.28140903,-5.50662
1393492752.7368357,0.2981322,-5.255911
1392904957.2377872,0.3168024,-4.992115
1392317657.4110286,0.33475894,-4.7526784
1391730852.6298428,0.34957078,-4.5646486
1391144542.26857,0.3597742,-4.4397
1390558725.7026029,0.36513898,-4.375418
1389973402.3083868,0.36643752,-4.3600006
1389388571.463416,0.36489,-4.3783803
1388804232.5462325,0.3616409,-4.4172244
1388220384.9364226,0.35749787,-4.467265
1387637028.0146163,0.35293245,-4.523084
1387054161.1624835,0.3482453,-4.581147
1386471783.7627327,0.34368894,-4.6383443
1385889895.1991096,0.33947504,-4.691921
1385308494.8563926,0.33572215,-4.7402
1384727582.1203926,0.3324295,-4.7830048
1384147156.377951,0.32953054,-4.8210435
1383567217.0169356,0.3269906,-4.854647
1382987763.4262407,0.32484415,-4.8832493
1382408794.9957833,0.32314777,-4.905988
1381830311.1165018,0.32189173,-4.922902
1381252311.1803539,0.32099158,-4.935064
1380674794.5803134,0.32036307,-4.9435754
1380097760.71037,0.31999797,-4.948528
1379521208.9655256,0.31995296,-4.9491386
1378945138.741792,0.32025954,-4.944979
1378369549.4361904,0.32085392,-4.936927
1377794440.4467478,0.32162008,-4.9265685
1377219811.1724956,0.32249656,-4.914749
1376645661.0134673,0.3235181,-4.9010143
1376071989.370697,0.3247402,-4.8846393
1375498795.6462157,0.32611093,-4.8663464
1374926079.2430513,0.3274608,-4.848407
1374353839.5652251,0.32860488,-4.83326
1373782076.0177503,0.32945976,-4.821976
1373210788.0066292,0.33000365,-4.8148127
1372639974.9388533,0.33009928,-4.8135543
1372069636.2223976,0.32938462,-4.8229666
1371499771.266222,0.32743964,-4.8486876
1370930379.4802678,0.32416177,-4.892382
1370361460.2754555,0.32006133,-4.947668
1369793013.063683,0.3161806,-5.000648
1369225037.2578242,0.3136356,-5.0357466
1368657532.2717252,0.3130885,-5.0433292
1368090497.5202045,0.31451383,-5.0236025
1367523932.4190497,0.31737456,-4.984279
1366957836.385016,0.32101732,-4.9347153
1366392208.8358228,0.32498342,-4.8813877
1365827049.1901548,0.32907933,-4.826994
1365262356.867656,0.33327308,-4.7719975
1364698131.2889314,0.33757785,-4.7162604
1364134371.8755426,0.3420088,-4.659627
1363571078.0500066,0.34658706,-4.6018763
1363008249.2357943,0.35133302,-4.5428104
1362445884.8573272,0.3562482,-4.4824734
1361883984.339978,0.36130726,-4.421233
1361322547.1100647,0.36647823,-4.359518
1360761572.594853,0.3717409,-4.2975965
1360201060.222551,0.37708718,-4.2355824
1359641009.422309,0.3824934,-4.1737604
1359081419.6242168,0.38792184,-4.112558
1358522290.2593026,0.3933396,-4.0523233
1357963620.7595298,0.39874423,-3.9930558
1357405410.5577962,0.4041506,-3.9345675
1356847659.0879314,0.4095587,-3.8768384
1356290365.7846959,0.41494903,-3.8200524
1355733530.0837777,0.420298,-3.7644267
1355177151.421791,0.42560807,-3.7099016
1354621229.2362754,0.43090922,-3.656142
1354065762.9656923,0.4362214,-3.6029303
1353510752.0494237,0.4415314,-3.550384
1352956195.9277709,0.4468134,-3.498738
1352402094.0419521,0.45206288,-3.4480116
1351848445.8340998,0.45730898,-3.397903
1351295250.74726,0.46257535,-3.3481753
1350742508.2253904,0.46785364,-3.2989
1350190217.7133577,0.47311205,-3.25036
1349638378.6569366,0.4783287,-3.2027354
1349086990.5028064,0.48352194,-3.1558383
1348536052.6985517,0.48872104,-3.1093895
1347985564.692658,0.49392295,-3.063408
1347435525.9345117,0.49908307,-3.0182717
1346885935.874397,0.5041636,-2.974285
1346336793.963495,0.5091693,-2.9313781
1345788099.6538808,0.5141293,-2.8892767
1345239852.3985238,0.51904815,-2.8479238
1344692051.651283,0.52388203,-2.8076649
1344144696.8669071,0.5285724,-2.7689552
1343597787.5010319,0.53309697,-2.731938
1343051323.0101798,0.5374894,-2.6963007
1342505302.8517556,0.5417702,-2.6618485
1341959726.4840477,0.5459013,-2.6288586
1341414593.3662233,0.54980195,-2.5979373
1340869902.9583292,0.55342627,-2.5694025
1340325654.7212875,0.5567943,-2.5430524
1339781848.1168964,0.55994767,-2.5185256
1339238482.6078267,0.56286937,-2.4959238
1338695557.6576207,0.565473,-2.475881
1338153072.7306898,0.5676733,-2.4590151
1337611027.2923136,0.5694655,-2.4453256
1337069420.808638,0.5709075,-2.4343426
1336528252.7466726,0.5720193,-2.4258933
1335987522.5742898,0.572722,-2.420561
1335447229.7602232,0.572896,-2.4192421
1334907373.7740645,0.57249045,-2.4223175
1334367954.086264,0.5715611,-2.4293735
1333828970.168126,0.57016885,-2.4399652
1333290421.4918106,0.5682661,-2.4544826
1332752307.5303283,0.565707,-2.4740841
1332214627.757541,0.5623745,-2.499744
1331677381.6481588,0.55828434,-2.5314455
1331140568.6777396,0.5535263,-2.5686173
1330604188.3226852,0.5481007,-2.6113963
1330068240.0602427,0.5418427,-2.6612678
1329532723.3684998,0.5345441,-2.7201648
1328997637.7263846,0.52612454,-2.7891145
1328462982.613664,0.5166499,-2.8680367
1327928757.5109422,0.50615084,-2.9572005
1327394961.8996575,0.494441,-3.0588553
1326861595.2620819,0.48117355,-3.1769826
1326328657.0813203,0.46606705,-3.315516
1325796146.841306,0.4490665,-3.4768937
1325264064.0268018,0.43020308,-3.6632648
1324732408.1233976,0.40929684,-3.879616
1324201178.6175072,0.3858892,-4.135374
1323670374.9963691,0.35957637,-4.4420886
1323139996.748043,0.3303949,-4.8096666
1322610043.361409,0.2989312,-5.2442875
1322080514.3261654,0.26601785,-5.750892
1321551409.1328278,0.23258543,-6.334175
1321022727.272727,0.20005865,-6.988426
1320494468.2380075,0.1712605,-7.6634274
1319966631.5216255,0.15081093,-8.215672
1319439216.6173482,0.14405227,-8.414799
1318912223.0197504,0.15474646,-8.103792
1318385650.2242153,0.18283354,-7.3794413
1317859497.7269309,0.22390218,-6.499417
1317333765.0248897,0.27101722,-5.6700315
1316808451.615886,0.31768402,-4.9800463
1316283556.9985151,0.36009327,-4.43585
1315759080.6721718,0.39747462,-4.006906
1315235022.1370478,0.43071273,-3.658123
1314711380.8941307,0.46071875,-3.365641
1314188156.445203,0.48768374,-3.1186173
1313665348.2928402,0.51148176,-2.9116986
1313142955.9404085,0.5323086,-2.7383652
1312620978.8920639,0.5508753,-2.5894668
1312099416.65275,0.5680437,-2.4561825
1311578268.7281978,0.58429545,-2.333675
1311057534.624923,0.5996414,-2.221084
1310537213.8502243,0.61390275,-2.1190042
1310017305.9121826,0.62705475,-2.0269454
1309497810.3196588,0.6392485,-1.9433029
1308978726.582293,0.6505712,-1.8670514
1308460054.2105021,0.6608727,-1.7988218
1307941792.715479,0.66982514,-1.7403855
1307423941.60919,0.677166,-1.6930486
1306906500.404375,0.68290085,-1.6564236
1306389468.6145446,0.68722624,-1.6290027
1305872845.753979,0.6903203,-1.6094935
1305356631.3377256,0.6921846,-1.5977805
1304840824.8815992,0.69272774,-1.5943742
1304325425.90218,0.69196504,-1.5991585
1303810433.9168103,0.6901462,-1.6105889
1303295848.4435952,0.6876525,-1.6263096
1302781669.0014007,0.6847894,-1.6444296
1302267895.109851,0.68177515,-1.6635883
1301754526.289328,0.67907846,-1.6808004
1301241562.06097,0.67788017,-1.6884707
1300729001.946669,0.68017834,-1.6737721
1300216845.469071,0.68809676,-1.6235049
1299705092.1515725,0.70265234,-1.532595
1299193741.5183203,0.72270125,-1.4104118
1298682793.0942109,0.7449434,-1.2787673
1298172246.4048862,0.7651655,-1.1624461
1297662100.9767349,0.780092,-1.0785418
1297152356.3368895,0.7886162,-1.0313432
1296643012.0132253,0.7917322,-1.014217
1296134067.5343587,0.7914091,-1.0159897
1295625522.429646,0.7893063,-1.0275444
1295117376.2291818,0.78620386,-1.0446483
1294609628.463798,0.78229314,-1.0663047
1294102278.665061,0.77772635,-1.0917319
1293595326.3652725,0.77288115,-1.1188729
1293088771.0974655,0.768158,-1.1454942
1292582612.395405,0.76368535,-1.1708555
1292076849.7935853,0.7593076,-1.1958225
1291571482.8272293,0.7548462,-1.2214152
1291066511.0322866,0.7503279,-1.2474892
1290561933.9454322,0.7459506,-1.2728995
1290057751.1040652,0.74185216,-1.2968264
1289553962.0463073,0.73798406,-1.3195301
1289050566.3110015,0.7341843,-1.341949
1288547563.43771,0.73039234,-1.3644379
1288044952.9667149,0.7267122,-1.3863753
1287542734.4390132,0.7232894,-1.4068792
1287040907.3963194,0.72015435,-1.4257442
1286539471.3810608,0.7172034,-1.4435767
1286038425.9363782,0.71434563,-1.460916
1285537770.6061237,0.7116027,-1.4776242
1285037504.9348598,0.70908344,-1.4930266
1284537628.467857,0.70685524,-1.5066952
1284038140.7510931,0.7048679,-1.5189228
1283539041.3312526,0.7030203,-1.5303216
1283040329.7557237,0.70127565,-1.5411124
1282542005.5725985,0.699698,-1.5508938
1282044068.3306699,0.6983592,-1.5592115
1281546517.579432,0.69724643,-1.566137
1281049352.8690784,0.69628036,-1.5721585
1280552573.7504988,0.69539124,-1.5777078
1280056179.775281,0.6945972,-1.5826697
1279560170.4957068,0.69396347,-1.5866339
1279064545.464752,0.69351137,-1.5894641
1278569304.236085,0.6931821,-1.5915265
1278074446.3640645,0.6929017,-1.5932839
1277579971.40374,0.69265205,-1.5948488
1277085878.9108477,0.692475,-1.595959
1276592168.4418123,0.692408,-1.5963792
1276098839.5537434,0.69242543,-1.5962698
1275605891.804435,0.6924583,-1.596064
1275113324.7523644,0.6924591,-1.5960587
1274621137.9566903,0.69243836,-1.5961888
1274129330.977252,0.6924235,-1.5962818
1273637903.3745675,0.6924034,-1.5964081
1273146854.709833,0.6923056,-1.5970213
1272656184.5449214,0.6920391,-1.5986938
1272165892.4423797,0.6915257,-1.6019167
1271675977.9654298,0.6906908,-1.6071632
1271186440.677966,0.68940544,-1.615253
1270697280.1445532,0.6874516,-1.6275787
1270208495.9304268,0.684518,-1.6461514
1269720087.6014912,0.68022984,-1.6734432
1269232054.7243173,0.6742084,-1.7120583
1268744396.866143,0.6661904,-1.7640164
1268257113.59487,0.6562315,-1.8294291
1267770204.4790654,0.64488715,-1.9051628
1267283669.0879562,0.63323987,-1.9843174
1266797506.9914324,0.62261695,-2.0577905
1266311717.7600427,0.61414945,-2.1172593
1265826300.9649947,0.60837924,-2.158256
1265341256.1781528,0.6051779,-2.1811695
1264856582.9720383,0.6039927,-2.1896832
1264372280.9198258,0.6041942,-2.1882343
1263888349.595345,0.60530794,-2.1802363
1263404788.5730762,0.6070471,-2.167776
1262921597.4281518,0.60920703,-2.152351
1262438775.7363534,0.6116277,-2.1351285
1261956323.074111,0.61421436,-2.1168003
1261474239.0185027,0.61696595,-2.097388
1260992523.1472514,0.61994827,-2.0764456
1260511175.0387251,0.62321967,-2.0535884
1260030194.2719364,0.6267948,-2.0287461
1259549580.4265387,0.6306746,-2.0019464
1259069333.082827,0.6348846,-1.9730521
1258589451.8217368,0.6394937,-1.9416373
1258109936.2248418,0.64454633,-1.9074585
1257630785.8743527,0.65002894,-1.870673
1257152000.353117,0.6558802,-1.8317547
1256673579.244617,0.66203874,-1.791166
1256195522.1329687,0.66846114,-1.7492384
1255717828.602921,0.67509425,-1.7063559
1255240498.2398536,0.6818315,-1.6632295
1254763530.6297772,0.6885161,-1.620859
1254286925.359331,0.69497746,-1.5802927
1253810682.0157819,0.70107806,-1.5423362
1253334800.1870236,0.7067003,-1.507647
1252859279.4615755,0.71171117,-1.4769621
1252384119.428581,0.7159491,-1.4511783
1251909319.6778057,0.7192638,-1.431118
1251434879.7996387,0.7215453,-1.417364
1250960799.3850884,0.72274476,-1.4101505
1250487078.0257835,0.72283137,-1.4096301
1250013715.313971,0.72176975,-1.4160132
1249540710.8425145,0.7195374,-1.4294665
1249068064.204894,0.71615773,-1.449913
1248595774.995205,0.71171975,-1.4769099
1248123842.8081553,0.70634806,-1.5098125
1247652267.2390661,0.70016485,-1.547997
1247181047.8838701,0.69327986,-1.5909141
1246710184.3391092,0.6858214,-1.6378896
1246239676.201936,0.6779641,-1.6879331
1245769523.0701096,0.6698999,-1.7399011
1245299724.5419962,0.66179043,-1.7927952
1244830280.2165682,0.6537398,-1.8459506
1244361189.6934016,0.64583147,-1.898808
1243892452.5726764,0.63813907,-1.9508467
1243424068.4551744,0.6307408,-2.0014906
1242956036.9422789,0.6236832,-2.0503595
1242488357.635973,0.6169436,-2.0975454
1242021030.138838,0.6104517,-2.143487
1241554054.054054,0.6041332,-2.188673
1241087428.9853969,0.5979488,-2.23336
1240621154.5372376,0.5918658,-2.2777677
1240155230.3145428,0.58581287,-2.322411
1239689655.9228709,0.579694,-2.3680122
1239224430.9683735,0.5734139,-2.4153178
1238759555.0577924,0.5669308,-2.4646997
1238295027.7984598,0.56024224,-2.5162416
1237830848.7982962,0.55334955,-2.5700045
1237367017.6658103,0.54621845,-2.626336
1236903534.010097,0.53880596,-2.685676
1236440397.440837,0.5311185,-2.7480855
1235977607.5682948,0.52320933,-2.813245
1235515164.0033183,0.51515204,-2.8806458
1235053066.3573387,0.50699264,-2.9499836
1234591314.2423666,0.49874473,-3.0212166
1234129907.270994,0.49043745,-3.094164
1233668845.0563908,0.4821472,-3.1682036
1233208127.2123055,0.47399017,-3.2423067
1232747753.353063,0.4660526,-3.315651
1232287723.093564,0.45837098,-3.3878288
1231828036.049284,0.45096448,-3.4585764
1231368691.8362713,0.44387507,-3.5273924
1230909690.071148,0.4371911,-3.593287
1230451030.3711061,0.43099034,-3.6553245
1229992712.3539097,0.42530602,-3.7129846
1229534735.6378903,0.420129,-3.7661734
1229077099.841949,0.4154719,-3.8145833
1228619804.5855532,0.41142023,-3.8571434
1228162849.488737,0.4081161,-3.8921628
1227706234.1720996,0.40571198,-3.9178216
1227249958.2568042,0.40433654,-3.9325702
1226794021.364576,0.4041101,-3.935003
1226338423.1177037,0.4051454,-3.9238908
1225883163.1390355,0.40750214,-3.8987012
1225428241.0519803,0.4110945,-3.8605835
1224973656.4805057,0.4156382,-3.8128452
1224519409.0491364,0.4206997,-3.7602782
1224065498.3829548,0.42582572,-3.7076812
1223611924.1075983,0.43066275,-3.658627
1223158685.849259,0.43498597,-3.6152477
1222705783.2346833,0.43866205,-3.578699
1222253215.8911693,0.44160375,-3.5496724
1221800983.4465673,0.4437824,-3.5282993
1221349085.5292778,0.44524476,-3.5140119
1220897521.768252,0.44610533,-3.5056257
